station_id,name,lat,lon,capacity,num_bikes_available,num_docks_available
7171,Ontario Place Blvd / Lake Shore Blvd W (East),43.6322445,-79.4108105,27,17,9
7172,Strachan Ave / Princes' Blvd,43.635,-79.40888889,19,17,2
7173,Cariboo St / Rail Path,43.66666667,-79.45833333,19,3,16
7174,Bloor St W / Dundas St W,43.6563889,-79.45166667,15,12,3
7175,HTO Park (Queens Quay W),43.63796,-79.387502,27,4,23
7176,Bathurst St / Fort York Blvd,43.639179,-79.399595,19,9,9
7177,East Liberty St / Pirandello St,43.63861111,-79.41472222,19,10,8
7178,Dundas St W / Edna Ave,43.657192,-79.452559,15,15,0
7179,Bloor GO / UP Station (West Toronto Railpath),43.6575,-79.45027778,19,8,11
7180,Lansdowne Subway Station,43.6587734,-79.443054,23,10,13
7181,Lansdowne Ave / Whytock Ave,43.65388889,-79.44138889,15,6,9
7182,Sterling Rd / Dundas St W,43.65083333,-79.44305556,19,11,8
7183,St Clarens Ave / College St,43.651238,-79.43868,15,7,8
7184,Ossington Ave / College St,43.6544915,-79.422634,11,5,6
7188,Exhibition GO (Atlantic Ave),43.63666667,-79.41972222,23,14,9
7189,Augusta Ave / Denison Sq,43.653766,-79.4016759,15,6,8
7190,St. George St / Hoskin Ave,43.6637403,-79.3980645,15,2,13
7191,Central Tech  (Harbord St),43.661975,-79.407896,11,10,1
7192,Harbord St / Clinton St,43.660414,-79.415646,15,2,13
7193,Queen St W / Gladstone Ave,43.64305556,-79.4275,15,5,10
7194,Mortimer Ave / Coxwell Ave,43.690564,-79.326319,23,9,14
7195,Ulster St / Bathurst St,43.66,-79.40888889,11,11,0
7196,Roxton Rd / Harbord St,43.65905,-79.422988,11,3,8
7197,Queen St W / Dovercourt Rd,43.64361111,-79.4225,11,5,6
7198,Queen St W / Cowan Ave,43.6409,-79.432837,19,5,14
7199,College St / Markham St,43.65638889,-79.40916667,19,4,15
7202,Queen St W / York St (City Hall),43.651667,-79.384167,31,28,3
7203,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,34,10,24
7204,College St / Crawford St,43.655,-79.418889,19,9,10
7205,Rusholme Park Cres / College St,43.65277778,-79.42972222,15,4,11
7206,Claremont St / Dundas St W,43.651281,-79.411717,13,3,10
7207,Dundas St W / Crawford St,43.649722,-79.416944,19,7,11
7208,80 Clinton St (North of College) - SMART,43.656296,-79.414663,11,3,8
7209,Ossington Ave / Harrison St,43.65111111,-79.42138889,19,10,9
7210,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305556,15,8,5
7211,Fort York Blvd / Garrison Rd,43.6375,-79.40611111,15,8,7
7216,Wellington St W / Stafford St,43.641281,-79.409339,23,12,11
7217,Soho St / Queen St W,43.6494896,-79.393535,19,8,9
7220,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,19,15,4
7221,High Park Subway Station,43.6543604,-79.4655296,19,8,11
7222,Sunnyside - Gus Ryder Pool,43.637894,-79.454823,27,5,22
7223,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,12,5,7
7224,Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,19,4,15
7225,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,19,9,10
7226,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,19,2,17
7227,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,31,30,1
7228,Queen St W / Roncesvalles Ave,43.638399,-79.4464436,19,13,6
7229,Dundas St W / Roncesvalles Green P - SMART,43.6534268,-79.4512787,12,3,9
7230,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,18,14,4
7231,Wright / Sorauren (Sorauren Park) - SMART,43.646677,-79.442741,18,8,10
7232,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,16,13,3
7233,King / Cowan Ave - SMART,43.637922,-79.431734,16,13,3
7234,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,19,12,7
7235,Bay St / College St (West Side) - SMART,43.660087,-79.385655,12,9,3
7236,Thompson St / Broadview Ave - SMART,43.659471,-79.350325,12,5,6
7237,Ward Ave / Wallace Ave,43.662251,-79.446036,15,4,11
7238,Sorauren/Geoffrey (Sorauren Park) - SMART,43.649172,-79.4445087,16,12,4
7239,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,20,11,9
7240,Bloor St W / Shaw Ave - SMART,43.662403,-79.423098,34,9,25
7241,519 Church St - SMART,43.666805,-79.381288,12,6,6
7242,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,35,1,33
7243,Exhibition GO Station,43.6356551,-79.4184785,15,3,12
7244,Dufferin Gate - SMART,43.633473,-79.425679,16,10,6
7245,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,9,5,3
7246,Yonge St / Bloor St,43.669969,-79.386532,14,8,6
